#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
scaffold_12	1285556	14	N	N	1	*	12,??,33
contig_2	526317	14	N	N	1	*	2
contig_81	520853	22	N	N	1	*	81
contig_46	440795	15	N	N	1	*	46
contig_69	419410	22	N	N	1	*	69
contig_67	359487	28	N	N	2	*	67,-73,70
contig_57	306211	5	N	N	1	*	57
contig_58	287746	13	N	N	1	*	58
contig_95	227309	22	N	N	1	*	95
contig_78	137675	24	N	N	2	*	78,-73,70
contig_60	127292	11	N	N	1	*	60
contig_93	104227	26	N	N	1	*	93
contig_72	103150	21	N	N	1	*	-70,72
contig_41	97592	9	N	N	1	*	41
contig_9	92626	9	N	N	1	*	9
contig_40	86548	8	N	N	1	*	40
contig_10	85131	5	N	N	1	*	10
contig_45	84936	7	N	N	1	*	45,*
contig_43	67505	14	N	N	1	*	43
contig_14	43474	11	N	Y	1	172	*,14,*
contig_17	41786	8	N	Y	1	174	*,17,*
contig_62	41161	6	N	Y	1	186	*,62,*
contig_16	41053	9	N	Y	1	174	*,16,*
contig_80	40355	9	Y	Y	1	148	80
contig_63	39995	12	N	N	1	*	63
contig_21	35869	7	Y	Y	1	102	21
contig_51	35189	5	N	Y	1	182	*,51,*
contig_13	33863	6	N	Y	1	172	*,13,*
contig_94	33186	4	Y	Y	1	58	94
contig_50	32765	13	N	Y	1	182	*,50,*
contig_29	27328	8	N	Y	1	194	*,29,*
contig_68	25380	9	N	N	1	*	68,70
contig_66	25097	5	N	N	1	*	*,66,*
contig_4	23742	11	N	Y	1	170	*,4,*
contig_18	23354	7	Y	Y	1	100	18
contig_61	23304	11	N	Y	1	186	*,61,*
contig_55	21077	12	N	Y	1	196	*,55,*
contig_35	20444	17	N	Y	1	194	*,35,*
contig_74	19168	4	N	N	1	*	*,74,*
contig_65	17448	3	N	Y	1	192	*,65,*
contig_23	14991	11	N	Y	1	176	*,23,*
contig_24	13910	4	N	Y	1	176	*,24,*
contig_42	12773	6	Y	Y	1	128	42
contig_90	11877	5	Y	Y	1	142	90
contig_38	11652	4	N	Y	1	180	*,38,*
contig_91	10300	3	Y	Y	1	54	91
contig_84	10207	21	N	Y	1	188	*,84,*
contig_49	9607	5	N	N	1	*	*,49,*
contig_89	9581	6	Y	Y	1	144	89
contig_56	9323	3	N	Y	1	196	*,56,*
contig_92	8350	6	Y	Y	1	156	92
contig_5	8062	4	Y	Y	1	96	5
contig_88	7346	4	Y	Y	1	152	88
contig_15	6517	6	N	N	1	*	*,15,*
contig_8	6464	4	Y	Y	1	160	8
contig_27	6269	5	Y	Y	1	110	27
contig_75	6022	5	N	Y	1	198	*,75,*
contig_6	5710	10	N	Y	1	190	*,6,*
contig_30	5413	17	N	Y	1	158	30
contig_86	5065	7	N	Y	1	200	*,86,*
contig_71	4924	6	N	N	1	*	71
contig_47	4612	3	Y	Y	1	130	47
contig_48	4181	5	Y	Y	1	132	48
contig_28	4031	5	Y	Y	1	114	28
contig_64	3961	12	N	Y	1	192	*,64,*
contig_37	3507	23	N	Y	1	180	*,37,*
contig_77	1764	5	N	N	1	*	*,77,*
contig_20	545	21	N	N	1	*	*,20,*
contig_53	522	9	N	Y	1	184	*,53,*
